OBJECTID,CWC_NAME,Proj_Acres,Action,County,Year,Access,GIS_Acres,Hectares,Map_Label,Date,TAXIDNUM,Township,GlobalID,Acre_Surve,Cama_acres,Shape_Leng,Shape_Area,Project_Nm,AreaRnd_WN,Agency_Nm
25,Rhoneymeade,140.5,Easement,Centre,1986,NO,148.804,60.2188,Rhoneymeade,10/30/1986,"20-005-,016-,0000-",Potter,{C0013A29-D932-4914-9F93-C7959F155A68},0.0,149.1,17031.4078352,6481872.35898,CE001,141,
26,Rockview - Benner Twp,25.85,Facilitated,Centre,2014,OPEN,23.2093,9.39248,,7/10/2014,"12-005-,510-,0000-",Benner,{79998E25-9DB9-4870-86E9-F586009FC6B7},0.0,14.57,6114.50500483,1010993.74774,Fac005,26,Benner Township
27,Rockview - PAGC,1212.85,Facilitated,Centre,2014,OPEN,1272.4,514.922,,7/18/2012,"12-005-,500M,0000-",Benner,{11DCC787-B6CC-433C-B476-27DF3CE39FA5},0.0,698.36,99046.0077906,55425527.7585,Fac007,1212,PA Game Commission
28,Rockview - PFBC,85.83,Facilitated,Centre,2014,OPEN,107.239,43.398,,7/06/2012,"12-005-,504-,0000-",Benner,{4DA8E50E-649F-44B4-9C3D-480A94792C02},0.0,47.64,48550.0881644,4671305.19156,Fac006,86,PA Fish and Boat Commission
29,Rockview - PSU,451.85,Easement,Centre,2014,NO,437.385,177.004,,05/01/2014,"12-005-,508-,0000-",Benner,{EAC7FC0F-A784-407B-9CC6-3469F12366AD},0.0,223.02,36632.1627742,19052436.8357,CE015,452,Penn State University
30,Rupert Cave,38.29,Easement,Mifflin,2012,NO,46.7829,18.9324,Rupert Cave,9/17/2012,"19 ,06-0100A-,000",Oliver,,0.0,0.0,7789.19054142,2037855.12296,CE014,38,
31,Smith Trust,18.7,Conveyed to,Centre,2019,NO,18.408,7.44946,,11/01/2019,"17-004-,068-,0000-",Halfmoon,{2E360422-9EB1-4ADD-BDA8-481F4B1EEF49},0.0,17.63,3646.00288316,801849.4278,Fac014,19,PA Game Commission
32,Curtin Estate,2391.42,Facilitated,Centre,2001,OPEN,2292.9,927.902,State Game Lands 323,12/28/2004,"08-006-,036-,0000-",Boggs/Howard,{A8EB8A42-8769-4E91-8455-898B4B222116},0.0,812.27,114816.002692,99878115.3663,Fac001,2391,PA Game Commission
33,Strouse,71.06,Conveyed to,Centre,2009,OPEN,73.5645,29.7705,,11/05/2009,"20-008-,087-,0000-",Potter,{5A37339F-5E6C-482D-B9EC-28DAA8B365EF},0.0,71.06,8941.44120028,3204455.55602,Fac003,71,PA Bureau of Forestry
34,Thompson Woods Preserve,43.36,Easement,Centre,2000,OPEN,42.3814,17.1512,,11/13/2000,"19-020-,241-,0000-",College,{58746650-A01B-4AF9-BCB8-935107EBF783},0.0,36.6,7701.76178556,1846127.27742,CE003,43,
35,Tussey View Farm,189.25,Easement,Centre,2009,OPEN,190.892,77.2514,Tussey View Farm,10/05/2009,"20-008-,005-,0000-",Potter,{2F939393-DCCF-4EB4-B0DE-FB97AFEAC318},0.0,189.25,18025.1359501,8315238.35831,CE012,189,
36,Windy Hill Farm,28.85,Easement,Centre,2020,NO,29.1087,11.7799,,6/16/2020,"24-004-,095B,0000-",Ferguson,{1B9F4169-1AF7-4672-BDAE-567714A6F78D},0.0,28.85,4822.4722797,1267969.884,CE022,29,
37,Dry Hollow,1271.16,Conveyed to,Huntingdon,2020,OPEN,1254.12,507.525,,2/16/2021,"17-007-,004-,0000-",WarriorsMark/Ferguson,,0.0,0.0,42559.2405786,54629277.0198,Fac015,1271,PA Bureau of Forestry
38,Ellenberger,68.0,Facilitated,Centre,2019,OPEN,70.9386,28.7078,Ellenberger,6/27/2019,"24-007-,045-,0000-",Ferguson,{9946A5DC-D954-42FC-AE72-E7742B25685E},0.0,68.0,7058.72450909,3090072.31382,Fac013,68,PA Bureau of Forestry
39,Plummers Hollow,648.0,Facilitated,Blair,2019,NO,664.734,269.009,Plummers Hollow,4/23/2019,19.00-28..-005.00-000,Tyrone,,0.0,0.0,32521.9510461,28955718.9815,Fac012,648,Western PA Conservancy
